STT	Tên Công ty	Website	Số Đề tài	Số NV	Tuyển dụng	Địa chỉ
1	"Vietcombank
Ngân hàng TMCP Ngoại thương Việt Nam"	Website	16	20000	30 SV	198 Trần Quang Khải, Hoàn Kiếm, Hà Nội
2	"FPT Software
Công ty TNHH Phần mềm FPT"	Website	30	16000	100 SV	Tòa nhà FPT Cầu Giấy, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
3	"MBBank
Ngân hàng TMCP Quân đội"	Website	22	15691	100 SV	18 Lê Văn Lương, phường Trung Hòa, quận Cầu Giấy, Hà Nội
4	"Viettel Group
Tập đoàn Công nghiệp - Viễn thông Quân đội"	Website	170	10000	0 SV	Lô D26, Khu đô thị mới Cầu Giấy, Yên Hòa, Hà Nội
5	"VNG Corporation
Công ty Cổ phần VNG"	Website	7	5000	0 SV	54A Nguyễn Chí Thanh, Đống Đa, Hà Nội
6	"Bamboo Airways
Công ty Cổ phần Hàng không Tre Việt"	Website	0	4000	50 SV	Tầng 22, Tòa nhà Bamboo Airways Tower, 265 Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
7	"MISA
Công ty Cổ phần MISA"	Website	15	2000	80 SV	Tầng 3, Tòa nhà Technosoft, Ngõ 15 Duy Tân, Cầu Giấy, Hà Nội
8	"SVMC (Samsung Vietnam Mobile R&D Center)
Trung tâm nghiên cứu và phát triển ĐTDĐ Samsung Việt Nam"	Website	2	2000	100 SV	Tòa nhà PVI, Số 1 Phạm Văn Bạch, Yên Hòa, Cầu Giấy, Hà Nội
9	"VCCorp
Công ty Cổ phần VCCorp"	Website	68	2000	200 SV	Số 1 Nguyễn Huy Tưởng, Thanh Xuân, Hà Nội
10	"Bkav
Công ty cổ phần Bkav"	Website	6	1800	150 SV	Tầng 2, tòa nhà HH1, khu đô thị Yên Hòa, quận Cầu Giấy, Hà Nội
11	"SSI
Công ty Cổ phần Chứng khoán SSI"	Website	0	1500	0 SV	72 Nguyễn Huệ, P.Bến Nghé, Quận 1, Tp.Hồ Chí Minh
12	"Sun* Inc. Việt Nam
Công ty TNHH Sun Asterisk Việt Nam"	Website	6	1500	70 SV	Tầng 13, Keangnam Hanoi Landmark Tower, Phạm Hùng, Mễ Trì, Từ Liêm, Hà Nội
13	"Sun* Inc.
CÔNG TY TNHH SUN ASTERISK VIỆT NAM"	Website	3	1500	0 SV	Tầng 13, Keangnam Hanoi Landmark Tower, khu E6 khu đô thị mớ - Phường Mễ Trì - Quận Nam Từ Liêm - Hà Nội
14	"Rikkeisoft
Công ty TNHH Rikkeisoft"	Website	13	1500	30 SV	Handico Tower, Tầng 21 Phạm Hùng, Mễ Trì Hạ, Nam Từ Liêm, Hà Nội
15	"VNPT Technology
Công ty CP Công nghệ Công nghiệp Bưu chính Viễn thông"	Website	32	1400	100 SV	124 Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy, Hà Nội
16	"VNPT-Vinaphone
Tổng Công ty Dịch vụ Viễn thông VNPT-Vinaphone"	Website	0	1000	0 SV	Tòa nhà Vinaphone, đường Nguyễn Văn Huyên kéo dài, phường Xuân La, quận Tây Hồ, Hà Nội
17	"SotaTek
Công ty cổ phần công nghệ SotaTek"	Website	19	800	15 SV	Tầng 7, CIC Tower , 219 Trung Kính, quận Cầu Giấy , Hà Nội
18	"Sapo
Công ty Cổ phần Công Nghệ Sapo"	Website	9	800	20 SV	Tầng 6 - Tòa nhà Ladeco - 266 Đội Cấn - Phường Liễu Giai - Quận Ba Đình - Hà Nội
19	"NashTech
Chi nhánh Công ty HarveyNash Việt Nam tại Hà Nội"	Website	1	600	30 SV	Tòa HITC, 239 Xuân Thủy, Cầu Giấy, Hà Nội
20	"SmartOSC
Công ty cổ phần SmartOSC"	Website	12	600	60 SV	Tầng 18 toa nhà Handico- Ngã tư Phạm Hùng giao Mễ Trì
21	"Monstar Lab
Công ty TNHH Monstar Lab Việt Nam"	Website	1	500	50 SV	Tầng 4 – Block C, tòa nhà Golden Palace, đường Mễ Trì, quận Nam Từ Liêm, Hanoi, Vietnam.
22	"Luvina
Công ty cổ phần phần mềm Luvina"	Website	1	500	10 SV	Tòa nhà Hòa Bình, 106 Hoàng Quốc Việt, Cầu Giấy, HN
23	"CO-WELL Asia
Công ty TNHH CO-WELL Châu á"	Website	12	500	15 SV	Số 3 Duy Tân - Dịch Vọng Hậu - Cầu Giấy - Hà Nội
24	"OpenWay
Công ty TNHH OpenWay Việt Nam"	Website	7	500	6 SV	Tầng 14 tòa Đông Lotte Center Hanoi, 54 Liễu Giai, P.Cống Vị, Q.Ba Đình, Hà Nội
25	"Unicloud
Công ty Cổ phần Tập đoàn Công nghệ Unicloud"	Website	2	500	10 SV	16 Phạm Hùng, Nam Từ Liêm, Hà Nội
